stopword & Stemming,"after_N-Gram(1,2)"
"['oke', 'suka', 'pembelajaranya']","['oke', 'oke suka', 'suka', 'suka pembelajaranya', 'pembelajaranya']"
"['makas', 'cipta', 'ruang', 'guruu', 'nilai', 'bagus', 'semuaa']","['makas', 'makas cipta', 'cipta', 'cipta ruang', 'ruang', 'ruang guruu', 'guruu', 'guruu nilai', 'nilai', 'nilai bagus', 'bagus', 'bagus semuaa', 'semuaa']"
"['ajar', 'kelas', '6', 'sdsaya', 'ajar', 'ruang', 'guru', 'ruang', 'guru', 'ajar', 'materi', 'sekolah', 'ajar', 'private', 'ulang', 'materinyadan', 'kuis', 'bahas', 'adasaya', 'pakai', 'aplikasi', 'ulang', 'sekolah', 'nilai', 'bagusbagus', 'semuakalau', 'bingung', 'ulang', 'lapor', 'sajaruang', 'guru', 'vidio', 'animasinyagakalah', 'seru', 'animasi', 'tvsambil', 'ajar']","['ajar', 'ajar kelas', 'kelas', 'kelas 6', '6', '6 sdsaya', 'sdsaya', 'sdsaya ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru ruang', 'ruang', 'ruang guru', 'guru', 'guru ajar', 'ajar', 'ajar materi', 'materi', 'materi sekolah', 'sekolah', 'sekolah ajar', 'ajar', 'ajar private', 'private', 'private ulang', 'ulang', 'ulang materinyadan', 'materinyadan', 'materinyadan kuis', 'kuis', 'kuis bahas', 'bahas', 'bahas adasaya', 'adasaya', 'adasaya pakai', 'pakai', 'pakai aplikasi', 'aplikasi', 'aplikasi ulang', 'ulang', 'ulang sekolah', 'sekolah', 'sekolah nilai', 'nilai', 'nilai bagusbagus', 'bagusbagus', 'bagusbagus semuakalau', 'semuakalau', 'semuakalau bingung', 'bingung', 'bingung ulang', 'ulang', 'ulang lapor', 'lapor', 'lapor sajaruang', 'sajaruang', 'sajaruang guru', 'guru', 'guru vidio', 'vidio', 'vidio animasinyagakalah', 'animasinyagakalah', 'animasinyagakalah seru', 'seru', 'seru animasi', 'animasi', 'animasi tvsambil', 'tvsambil', 'tvsambil ajar', 'ajar']"
"['suka', 'ruangguru']","['suka', 'suka ruangguru', 'ruangguru']"
"['suka', 'ajar', 'ruang', 'guru', 'karna', 'seru']","['suka', 'suka ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru karna', 'karna', 'karna seru', 'seru']"
"['terima', 'kasih', 'ruang', 'guru', 'bimbing', 'aplikasi']","['terima', 'terima kasih', 'kasih', 'kasih ruang', 'ruang', 'ruang guru', 'guru', 'guru bimbing', 'bimbing', 'bimbing aplikasi', 'aplikasi']"
"['ruangguru', 'bagus', 'fitur', 'matematika', 'gamenya', 'seru', 'aplilasinya', 'segitu', 'terimakasih']","['ruangguru', 'ruangguru bagus', 'bagus', 'bagus fitur', 'fitur', 'fitur matematika', 'matematika', 'matematika gamenya', 'gamenya', 'gamenya seru', 'seru', 'seru aplilasinya', 'aplilasinya', 'aplilasinya segitu', 'segitu', 'segitu terimakasih', 'terimakasih']"
"['aplikasi', 'bantu', 'ajar', 'ajar', 'aplikasi', 'mudah', 'paham', 'erti', 'mudah', 'paham', 'erti', 'aplikasi', 'animasi', 'karakter', 'ajar', 'seru', 'semangat', 'ajar', 'terimakasih', 'ruang', 'guru']","['aplikasi', 'aplikasi bantu', 'bantu', 'bantu ajar', 'ajar', 'ajar ajar', 'ajar', 'ajar aplikasi', 'aplikasi', 'aplikasi mudah', 'mudah', 'mudah paham', 'paham', 'paham erti', 'erti', 'erti mudah', 'mudah', 'mudah paham', 'paham', 'paham erti', 'erti', 'erti aplikasi', 'aplikasi', 'aplikasi animasi', 'animasi', 'animasi karakter', 'karakter', 'karakter ajar', 'ajar', 'ajar seru', 'seru', 'seru semangat', 'semangat', 'semangat ajar', 'ajar', 'ajar terimakasih', 'terimakasih', 'terimakasih ruang', 'ruang', 'ruang guru', 'guru']"
"['lumayan', 'tpi', 'video', 'putar', 'langgan', 'dahulutpi', 'seru', 'hewan', 'peliharaanyabelajar', 'seru']","['lumayan', 'lumayan tpi', 'tpi', 'tpi video', 'video', 'video putar', 'putar', 'putar langgan', 'langgan', 'langgan dahulutpi', 'dahulutpi', 'dahulutpi seru', 'seru', 'seru hewan', 'hewan', 'hewan peliharaanyabelajar', 'peliharaanyabelajar', 'peliharaanyabelajar seru', 'seru']"
"['keren', 'keren']","['keren', 'keren keren', 'keren']"
"['great', 'app']","['great', 'great app', 'app']"
['baguss'],['baguss']
['bagus'],['bagus']
"['ngerjain', 'error', 'ilang', 'jawab', 'ngescroll', 'aneh', 'banget', 'tolong', 'baik']","['ngerjain', 'ngerjain error', 'error', 'error ilang', 'ilang', 'ilang jawab', 'jawab', 'jawab ngescroll', 'ngescroll', 'ngescroll aneh', 'aneh', 'aneh banget', 'banget', 'banget tolong', 'tolong', 'tolong baik', 'baik']"
"['bagus', 'banget', 'aplikasi']","['bagus', 'bagus banget', 'banget', 'banget aplikasi', 'aplikasi']"
"['sok', 'sok', 'mitra', 'sekolah', 'gede', 'skalinya', 'suruh', 'ngerjain', 'ngedown', 'servernya', 'gaje', 'banget']","['sok', 'sok sok', 'sok', 'sok mitra', 'mitra', 'mitra sekolah', 'sekolah', 'sekolah gede', 'gede', 'gede skalinya', 'skalinya', 'skalinya suruh', 'suruh', 'suruh ngerjain', 'ngerjain', 'ngerjain ngedown', 'ngedown', 'ngedown servernya', 'servernya', 'servernya gaje', 'gaje', 'gaje banget', 'banget']"
['hebat'],['hebat']
"['bagus', 'bljr']","['bagus', 'bagus bljr', 'bljr']"
"['pakai', 'bagus', 'knp', 'pas', 'buka', 'video', 'ajar', 'sistem', 'hari', 'cobattp', 'bisasaya', 'lapor', 'baik', 'harap', 'baik', 'yamohon', 'balas', 'rg']","['pakai', 'pakai bagus', 'bagus', 'bagus knp', 'knp', 'knp pas', 'pas', 'pas buka', 'buka', 'buka video', 'video', 'video ajar', 'ajar', 'ajar sistem', 'sistem', 'sistem hari', 'hari', 'hari cobattp', 'cobattp', 'cobattp bisasaya', 'bisasaya', 'bisasaya lapor', 'lapor', 'lapor baik', 'baik', 'baik harap', 'harap', 'harap baik', 'baik', 'baik yamohon', 'yamohon', 'yamohon balas', 'balas', 'balas rg', 'rg']"
"['gadapet', 'bintang', 'bener']","['gadapet', 'gadapet bintang', 'bintang', 'bintang bener', 'bener']"
"['apk', 'bantu', 'terima', 'kasih', 'ruang', 'guru']","['apk', 'apk bantu', 'bantu', 'bantu terima', 'terima', 'terima kasih', 'kasih', 'kasih ruang', 'ruang', 'ruang guru', 'guru']"
"['jelek', 'apk', 'apaansih', 'nyesel', 'download']","['jelek', 'jelek apk', 'apk', 'apk apaansih', 'apaansih', 'apaansih nyesel', 'nyesel', 'nyesel download', 'download']"
['bagus'],['bagus']
"['tolong', 'sistem', 'refresh', 'drill', 'kadang', 'gambar', 'muncul']","['tolong', 'tolong sistem', 'sistem', 'sistem refresh', 'refresh', 'refresh drill', 'drill', 'drill kadang', 'kadang', 'kadang gambar', 'gambar', 'gambar muncul', 'muncul']"
"['manfaat', 'banget', 'minggu', 'nilai', 'ulang', 'fisika', '90', 'heran', 'hehehehe', 'tolong', 'tambahin', 'materi', 'bahasa', 'indonesia', 'kelas', '10', 'kurikulum', 'merdeka', 'tolong', 'kasih', 'teks', 'eksposisi', 'materi', 'kls', '8', 'tolong', 'makasih']","['manfaat', 'manfaat banget', 'banget', 'banget minggu', 'minggu', 'minggu nilai', 'nilai', 'nilai ulang', 'ulang', 'ulang fisika', 'fisika', 'fisika 90', '90', '90 heran', 'heran', 'heran hehehehe', 'hehehehe', 'hehehehe tolong', 'tolong', 'tolong tambahin', 'tambahin', 'tambahin materi', 'materi', 'materi bahasa', 'bahasa', 'bahasa indonesia', 'indonesia', 'indonesia kelas', 'kelas', 'kelas 10', '10', '10 kurikulum', 'kurikulum', 'kurikulum merdeka', 'merdeka', 'merdeka tolong', 'tolong', 'tolong kasih', 'kasih', 'kasih teks', 'teks', 'teks eksposisi', 'eksposisi', 'eksposisi materi', 'materi', 'materi kls', 'kls', 'kls 8', '8', '8 tolong', 'tolong', 'tolong makasih', 'makasih']"
"['vidio', 'mau', 'singkat', 'padat']","['vidio', 'vidio mau', 'mau', 'mau singkat', 'singkat', 'singkat padat', 'padat']"
"['akun', 'suka', 'log', 'out', 'ruangguru', 'jangka', 'masuk', 'akun', 'repot', 'baik']","['akun', 'akun suka', 'suka', 'suka log', 'log', 'log out', 'out', 'out ruangguru', 'ruangguru', 'ruangguru jangka', 'jangka', 'jangka masuk', 'masuk', 'masuk akun', 'akun', 'akun repot', 'repot', 'repot baik', 'baik']"
"['moga', 'bantu', 'ananda', 'suci', 'ajar', 'sekolah', 'kelas', '3', 'sd']","['moga', 'moga bantu', 'bantu', 'bantu ananda', 'ananda', 'ananda suci', 'suci', 'suci ajar', 'ajar', 'ajar sekolah', 'sekolah', 'sekolah kelas', 'kelas', 'kelas 3', '3', '3 sd', 'sd']"
"['mudah', 'erti', 'gampang', 'bosan']","['mudah', 'mudah erti', 'erti', 'erti gampang', 'gampang', 'gampang bosan', 'bosan']"
"['ajar', 'seru', 'ruangguru', 'nyerti', 'simak']","['ajar', 'ajar seru', 'seru', 'seru ruangguru', 'ruangguru', 'ruangguru nyerti', 'nyerti', 'nyerti simak', 'simak']"
[],[]
"['assalamulaikum', 'wb', 'wr', 'terima', 'kasih', 'ruang', 'guru', 'ajar', 'rajin']","['assalamulaikum', 'assalamulaikum wb', 'wb', 'wb wr', 'wr', 'wr terima', 'terima', 'terima kasih', 'kasih', 'kasih ruang', 'ruang', 'ruang guru', 'guru', 'guru ajar', 'ajar', 'ajar rajin', 'rajin']"
"['ajar', 'sekolah']","['ajar', 'ajar sekolah', 'sekolah']"
"['bagus', 'bantu']","['bagus', 'bagus bantu', 'bantu']"
"['bismillah', 'undip', '2023']","['bismillah', 'bismillah undip', 'undip', 'undip 2023', '2023']"
"['gua', 'lulus', 'utbk', 'coba', 'jamin', 'lulus', 'ptn', 'sesat']","['gua', 'gua lulus', 'lulus', 'lulus utbk', 'utbk', 'utbk coba', 'coba', 'coba jamin', 'jamin', 'jamin lulus', 'lulus', 'lulus ptn', 'ptn', 'ptn sesat', 'sesat']"
"['ruang', 'guru', 'bantu', 'dale', 'selesai', 'kerja']","['ruang', 'ruang guru', 'guru', 'guru bantu', 'bantu', 'bantu dale', 'dale', 'dale selesai', 'selesai', 'selesai kerja', 'kerja']"
['bgs'],['bgs']
"['aplikasi', 'bagus', 'nilai']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus nilai', 'nilai']"
['bagus'],['bagus']
"['terimakasih', 'egi']","['terimakasih', 'terimakasih egi', 'egi']"
"['waw', 'mengunakan', 'ruang', 'guru', 'ajar', 'seru', 'pokok', 'aplikasi', 'bagus', 'baget', 'kasih', 'bintang', '5']","['waw', 'waw mengunakan', 'mengunakan', 'mengunakan ruang', 'ruang', 'ruang guru', 'guru', 'guru ajar', 'ajar', 'ajar seru', 'seru', 'seru pokok', 'pokok', 'pokok aplikasi', 'aplikasi', 'aplikasi bagus', 'bagus', 'bagus baget', 'baget', 'baget kasih', 'kasih', 'kasih bintang', 'bintang', 'bintang 5', '5']"
['kereen'],['kereen']
['oke'],['oke']
['bagus'],['bagus']
"['tekun', 'ruang', 'guru']","['tekun', 'tekun ruang', 'ruang', 'ruang guru', 'guru']"
"['anak', 'juara', '1', 'karna', 'rungguru']","['anak', 'anak juara', 'juara', 'juara 1', '1', '1 karna', 'karna', 'karna rungguru', 'rungguru']"
"['dukung', 'ajar']","['dukung', 'dukung ajar', 'ajar']"
"['bagus', 'ruangguru']","['bagus', 'bagus ruangguru', 'ruangguru']"
"['aplikasi', 'bagus', 'banget', 'bantu', 'pokonyaaku', 'kasih', 'bintang', '5']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus banget', 'banget', 'banget bantu', 'bantu', 'bantu pokonyaaku', 'pokonyaaku', 'pokonyaaku kasih', 'kasih', 'kasih bintang', 'bintang', 'bintang 5', '5']"
"['assalamualaikum', 'ruang', 'guru', 'bagus']","['assalamualaikum', 'assalamualaikum ruang', 'ruang', 'ruang guru', 'guru', 'guru bagus', 'bagus']"
"['aplikasi', 'bagus', 'bimbing', 'ajar', 'cepat', 'mudah', 'murah', 'aplikasi', 'neng', 'ajar', 'suka', 'ajar', 'neng', 'ajar', 'aplikasi', 'mudah', 'erti', 'ajar']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus bimbing', 'bimbing', 'bimbing ajar', 'ajar', 'ajar cepat', 'cepat', 'cepat mudah', 'mudah', 'mudah murah', 'murah', 'murah aplikasi', 'aplikasi', 'aplikasi neng', 'neng', 'neng ajar', 'ajar', 'ajar suka', 'suka', 'suka ajar', 'ajar', 'ajar neng', 'neng', 'neng ajar', 'ajar', 'ajar aplikasi', 'aplikasi', 'aplikasi mudah', 'mudah', 'mudah erti', 'erti', 'erti ajar', 'ajar']"
"['terima', 'kasih', 'ajar']","['terima', 'terima kasih', 'kasih', 'kasih ajar', 'ajar']"
"['pake', 'google', 'nyari', 'web', 'robo', 'guru', 'langgan']","['pake', 'pake google', 'google', 'google nyari', 'nyari', 'nyari web', 'web', 'web robo', 'robo', 'robo guru', 'guru', 'guru langgan', 'langgan']"
"['siu', 'gam']","['siu', 'siu gam', 'gam']"
"['bagus', 'bug']","['bagus', 'bagus bug', 'bug']"
['app'],['app']
"['ruang', 'guru', 'bagus', 'download', 'baik', 'download', 'video', 'ajar', 'gagal', 'error', 'presentase', 'download', '100', 'serius', 'jatuh', 'buang', 'buang', 'kuota', 'baik', 'fitur', 'downloadnya', 'naikin', 'ratingnya']","['ruang', 'ruang guru', 'guru', 'guru bagus', 'bagus', 'bagus download', 'download', 'download baik', 'baik', 'baik download', 'download', 'download video', 'video', 'video ajar', 'ajar', 'ajar gagal', 'gagal', 'gagal error', 'error', 'error presentase', 'presentase', 'presentase download', 'download', 'download 100', '100', '100 serius', 'serius', 'serius jatuh', 'jatuh', 'jatuh buang', 'buang', 'buang buang', 'buang', 'buang kuota', 'kuota', 'kuota baik', 'baik', 'baik fitur', 'fitur', 'fitur downloadnya', 'downloadnya', 'downloadnya naikin', 'naikin', 'naikin ratingnya', 'ratingnya']"
"['sumpah', 'plis', 'wajib', 'banget', 'downlot', 'buset', 'bagus', 'banget', 'allah']","['sumpah', 'sumpah plis', 'plis', 'plis wajib', 'wajib', 'wajib banget', 'banget', 'banget downlot', 'downlot', 'downlot buset', 'buset', 'buset bagus', 'bagus', 'bagus banget', 'banget', 'banget allah', 'allah']"
"['jadi', 'makinn', 'semangat', 'ajar']","['jadi', 'jadi makinn', 'makinn', 'makinn semangat', 'semangat', 'semangat ajar', 'ajar']"
"['aplikasi', 'bantu', 'ajar', 'sekolah', 'nonton', 'vidio', 'ruangguru']","['aplikasi', 'aplikasi bantu', 'bantu', 'bantu ajar', 'ajar', 'ajar sekolah', 'sekolah', 'sekolah nonton', 'nonton', 'nonton vidio', 'vidio', 'vidio ruangguru', 'ruangguru']"
"['apk', 'sgt', 'slayy', 'anggunly']","['apk', 'apk sgt', 'sgt', 'sgt slayy', 'slayy', 'slayy anggunly', 'anggunly']"
['baguss'],['baguss']
"['ajar', 'ngebosenin']","['ajar', 'ajar ngebosenin', 'ngebosenin']"
"['aplikasi', 'bantu', 'sekolah']","['aplikasi', 'aplikasi bantu', 'bantu', 'bantu sekolah', 'sekolah']"
[],[]
['kerren'],['kerren']
[],[]
['bagus'],['bagus']
"['baguss', 'pokok']","['baguss', 'baguss pokok', 'pokok']"
"['aplikasi', 'bagus', 'banget', 'materi', 'mudah', 'kuis', 'ajar', 'matematika', 'rumus', 'pusing', 'seru']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus banget', 'banget', 'banget materi', 'materi', 'materi mudah', 'mudah', 'mudah kuis', 'kuis', 'kuis ajar', 'ajar', 'ajar matematika', 'matematika', 'matematika rumus', 'rumus', 'rumus pusing', 'pusing', 'pusing seru', 'seru']"
"['karna', 'ruangguru', 'prestasi', 'kemarin', 'kenal', 'ruangguru', 'prestasi', 'prestasi', 'sampek', 'wakil', 'sekolah', 'lomba', 'cerdas', 'cermat', 'tim', 'menang', 'juara', '1', 'makasih', 'ruangguru']","['karna', 'karna ruangguru', 'ruangguru', 'ruangguru prestasi', 'prestasi', 'prestasi kemarin', 'kemarin', 'kemarin kenal', 'kenal', 'kenal ruangguru', 'ruangguru', 'ruangguru prestasi', 'prestasi', 'prestasi prestasi', 'prestasi', 'prestasi sampek', 'sampek', 'sampek wakil', 'wakil', 'wakil sekolah', 'sekolah', 'sekolah lomba', 'lomba', 'lomba cerdas', 'cerdas', 'cerdas cermat', 'cermat', 'cermat tim', 'tim', 'tim menang', 'menang', 'menang juara', 'juara', 'juara 1', '1', '1 makasih', 'makasih', 'makasih ruangguru', 'ruangguru']"
"['baguzz', 'abiez']","['baguzz', 'baguzz abiez', 'abiez']"
"['keren', 'aplikasi', 'bagus', 'materi', 'mudah', 'paham', 'sukses']","['keren', 'keren aplikasi', 'aplikasi', 'aplikasi bagus', 'bagus', 'bagus materi', 'materi', 'materi mudah', 'mudah', 'mudah paham', 'paham', 'paham sukses', 'sukses']"
"['susah', 'banget', 'kepala', 'pusing', 'ruang', 'guru', 'bubar']","['susah', 'susah banget', 'banget', 'banget kepala', 'kepala', 'kepala pusing', 'pusing', 'pusing ruang', 'ruang', 'ruang guru', 'guru', 'guru bubar', 'bubar']"
"['aplikasi', 'bagus']","['aplikasi', 'aplikasi bagus', 'bagus']"
"['bagus', 'banget', 'ruanguru']","['bagus', 'bagus banget', 'banget', 'banget ruanguru', 'ruanguru']"
"['membantuk', 'ku']","['membantuk', 'membantuk ku', 'ku']"
['adl'],['adl']
[],[]
[],[]
"['aplikasi', 'seru', 'ajar', 'daffa', 'lulu', 'ribu', 'video', 'ruang', 'guru']","['aplikasi', 'aplikasi seru', 'seru', 'seru ajar', 'ajar', 'ajar daffa', 'daffa', 'daffa lulu', 'lulu', 'lulu ribu', 'ribu', 'ribu video', 'video', 'video ruang', 'ruang', 'ruang guru', 'guru']"
"['ajar', 'ruangguru', 'seru', 'bangett']","['ajar', 'ajar ruangguru', 'ruangguru', 'ruangguru seru', 'seru', 'seru bangett', 'bangett']"
"['ruang', 'guru', 'aplikasi', 'bantu', 'bug', 'kesal', 'drill', 'kuis', 'tiba2', 'macet', 'tugas', 'sinkronisasi', 'tugas']","['ruang', 'ruang guru', 'guru', 'guru aplikasi', 'aplikasi', 'aplikasi bantu', 'bantu', 'bantu bug', 'bug', 'bug kesal', 'kesal', 'kesal drill', 'drill', 'drill kuis', 'kuis', 'kuis tiba2', 'tiba2', 'tiba2 macet', 'macet', 'macet tugas', 'tugas', 'tugas sinkronisasi', 'sinkronisasi', 'sinkronisasi tugas', 'tugas']"
"['makas', 'ruang', 'guru', 'ajar', 'ajar', 'sekolah', 'moga', 'bantu']","['makas', 'makas ruang', 'ruang', 'ruang guru', 'guru', 'guru ajar', 'ajar', 'ajar ajar', 'ajar', 'ajar sekolah', 'sekolah', 'sekolah moga', 'moga', 'moga bantu', 'bantu']"
['suka'],['suka']
"['aplikasi', 'download']","['aplikasi', 'aplikasi download', 'download']"
"['pas', 'jawab', 'sesuai', 'tunjuk']","['pas', 'pas jawab', 'jawab', 'jawab sesuai', 'sesuai', 'sesuai tunjuk', 'tunjuk']"
['guna'],['guna']
"['god', 'app']","['god', 'god app', 'app']"
"['ajar', 'ruang', 'guru']","['ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru']"
"['install', 'laptop', 'windows', '10', 'slalu', 'tolong', 'bantu', 'install', 'slalu']","['install', 'install laptop', 'laptop', 'laptop windows', 'windows', 'windows 10', '10', '10 slalu', 'slalu', 'slalu tolong', 'tolong', 'tolong bantu', 'bantu', 'bantu install', 'install', 'install slalu', 'slalu']"
"['isi', 'nomor', 'telpon']","['isi', 'isi nomor', 'nomor', 'nomor telpon', 'telpon']"
[],[]
['nice'],['nice']
"['bantu', 'ajar', 'anakterimakasih']","['bantu', 'bantu ajar', 'ajar', 'ajar anakterimakasih', 'anakterimakasih']"
"['rajin', 'pangkal', 'pandai']","['rajin', 'rajin pangkal', 'pangkal', 'pangkal pandai', 'pandai']"
"['bagus', 'apknya']","['bagus', 'bagus apknya', 'apknya']"
"['tolong', 'langgan', '1', '6', 'akhirakhir', 'jarang', 'buka', 'pas', 'buka', 'materi', 'kunci', 'bantu', 'pas']","['tolong', 'tolong langgan', 'langgan', 'langgan 1', '1', '1 6', '6', '6 akhirakhir', 'akhirakhir', 'akhirakhir jarang', 'jarang', 'jarang buka', 'buka', 'buka pas', 'pas', 'pas buka', 'buka', 'buka materi', 'materi', 'materi kunci', 'kunci', 'kunci bantu', 'bantu', 'bantu pas', 'pas']"
"['aplikasi', 'hebat', 'pintar']","['aplikasi', 'aplikasi hebat', 'hebat', 'hebat pintar', 'pintar']"
"['pls', 'hapus', 'akun', 'ruang', 'guru', 'risih', 'pls']","['pls', 'pls hapus', 'hapus', 'hapus akun', 'akun', 'akun ruang', 'ruang', 'ruang guru', 'guru', 'guru risih', 'risih', 'risih pls', 'pls']"
"['aplkasi', 'baik']","['aplkasi', 'aplkasi baik', 'baik']"
"['seru', 'banget', 'jelas', 'rumitdan', 'mudah', 'erti']","['seru', 'seru banget', 'banget', 'banget jelas', 'jelas', 'jelas rumitdan', 'rumitdan', 'rumitdan mudah', 'mudah', 'mudah erti', 'erti']"
"['bagus', 'banget', 'ngebantu', 'tugas', 'tugas']","['bagus', 'bagus banget', 'banget', 'banget ngebantu', 'ngebantu', 'ngebantu tugas', 'tugas', 'tugas tugas', 'tugas']"
"['apk', 'bagus']","['apk', 'apk bagus', 'bagus']"
"['download', 'video', 'butuh', 'internet', 'buka', 'video', 'rangkum']","['download', 'download video', 'video', 'video butuh', 'butuh', 'butuh internet', 'internet', 'internet buka', 'buka', 'buka video', 'video', 'video rangkum', 'rangkum']"
"['suka', 'banget']","['suka', 'suka banget', 'banget']"
"['bagus', 'sihvidio', 'bagusviturnya', 'bagus', 'teman', 'ajar', 'suka', 'banget', 'robo', 'guru', 'mambantu', 'sekolah', 'terima', 'kasih', 'ruang', 'guru']","['bagus', 'bagus sihvidio', 'sihvidio', 'sihvidio bagusviturnya', 'bagusviturnya', 'bagusviturnya bagus', 'bagus', 'bagus teman', 'teman', 'teman ajar', 'ajar', 'ajar suka', 'suka', 'suka banget', 'banget', 'banget robo', 'robo', 'robo guru', 'guru', 'guru mambantu', 'mambantu', 'mambantu sekolah', 'sekolah', 'sekolah terima', 'terima', 'terima kasih', 'kasih', 'kasih ruang', 'ruang', 'ruang guru', 'guru']"
['muantap'],['muantap']
"['bagus', 'aplikasi', 'ajar', 'mana']","['bagus', 'bagus aplikasi', 'aplikasi', 'aplikasi ajar', 'ajar', 'ajar mana', 'mana']"
['bagus'],['bagus']
['bagus'],['bagus']
"['instal', 'lma']","['instal', 'instal lma', 'lma']"
"['knp', 'ruang', 'guru', 'nelponpdhl', 'download', 'nomor']","['knp', 'knp ruang', 'ruang', 'ruang guru', 'guru', 'guru nelponpdhl', 'nelponpdhl', 'nelponpdhl download', 'download', 'download nomor', 'nomor']"
['keren'],['keren']
"['bantu', 'ajar', 'anak', 'semangat', 'ajar']","['bantu', 'bantu ajar', 'ajar', 'ajar anak', 'anak', 'anak semangat', 'semangat', 'semangat ajar', 'ajar']"
"['terima', 'kasih', 'bantu']","['terima', 'terima kasih', 'kasih', 'kasih bantu', 'bantu']"
"['banget', 'instalnya']","['banget', 'banget instalnya', 'instalnya']"
"['bantu', 'ajar', 'ruang', 'guru', 'sekolah']","['bantu', 'bantu ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru sekolah', 'sekolah']"
"['student', 'advisor', 'ngechat', 'gbisa', 'jaga', 'sikap', 'nama', 'putri', 'jujur', 'sakit', 'hati']","['student', 'student advisor', 'advisor', 'advisor ngechat', 'ngechat', 'ngechat gbisa', 'gbisa', 'gbisa jaga', 'jaga', 'jaga sikap', 'sikap', 'sikap nama', 'nama', 'nama putri', 'putri', 'putri jujur', 'jujur', 'jujur sakit', 'sakit', 'sakit hati', 'hati']"
"['faiq', 'alfurqan', 'maulana', 'yusuf', 'kelas', '3a']","['faiq', 'faiq alfurqan', 'alfurqan', 'alfurqan maulana', 'maulana', 'maulana yusuf', 'yusuf', 'yusuf kelas', 'kelas', 'kelas 3a', '3a']"
['paksa'],['paksa']
"['harap', 'ruangguru', 'paket', 'hari', 'harga', 'murah', 'cocok', 'ajar', 'males', 'ortu', 'dimarahin']","['harap', 'harap ruangguru', 'ruangguru', 'ruangguru paket', 'paket', 'paket hari', 'hari', 'hari harga', 'harga', 'harga murah', 'murah', 'murah cocok', 'cocok', 'cocok ajar', 'ajar', 'ajar males', 'males', 'males ortu', 'ortu', 'ortu dimarahin', 'dimarahin']"
['job'],['job']
[],[]
"['ruangguru', 'daily', 'challenge', 'eror', 'mulu', 'baik', 'langgan', 'ruangguru', 'pas', 'langgan', 'main', 'daily', 'challenge', 'langgan', 'eror', 'mulu', 'daily', 'challenge', 'tolong', 'baik']","['ruangguru', 'ruangguru daily', 'daily', 'daily challenge', 'challenge', 'challenge eror', 'eror', 'eror mulu', 'mulu', 'mulu baik', 'baik', 'baik langgan', 'langgan', 'langgan ruangguru', 'ruangguru', 'ruangguru pas', 'pas', 'pas langgan', 'langgan', 'langgan main', 'main', 'main daily', 'daily', 'daily challenge', 'challenge', 'challenge langgan', 'langgan', 'langgan eror', 'eror', 'eror mulu', 'mulu', 'mulu daily', 'daily', 'daily challenge', 'challenge', 'challenge tolong', 'tolong', 'tolong baik', 'baik']"
"['bagus', 'semangat', 'ajar']","['bagus', 'bagus semangat', 'semangat', 'semangat ajar', 'ajar']"
"['bagus', 'bantu', 'ajar', 'sekolah']","['bagus', 'bagus bantu', 'bantu', 'bantu ajar', 'ajar', 'ajar sekolah', 'sekolah']"
"['bagus', 'jelas', 'mudah', 'paham', 'log', 'out', 'trs', 'pas', 'login', 'gabisa', 'login', 'pakai', 'google']","['bagus', 'bagus jelas', 'jelas', 'jelas mudah', 'mudah', 'mudah paham', 'paham', 'paham log', 'log', 'log out', 'out', 'out trs', 'trs', 'trs pas', 'pas', 'pas login', 'login', 'login gabisa', 'gabisa', 'gabisa login', 'login', 'login pakai', 'pakai', 'pakai google', 'google']"
"['suka', 'ruang', 'guru', 'bahas', 'cepat', 'erti', 'tele', 'tele', 'suka', 'oke', 'kasih', 'bintang', '5', 'terimakasih', 'ruang', 'guru']","['suka', 'suka ruang', 'ruang', 'ruang guru', 'guru', 'guru bahas', 'bahas', 'bahas cepat', 'cepat', 'cepat erti', 'erti', 'erti tele', 'tele', 'tele tele', 'tele', 'tele suka', 'suka', 'suka oke', 'oke', 'oke kasih', 'kasih', 'kasih bintang', 'bintang', 'bintang 5', '5', '5 terimakasih', 'terimakasih', 'terimakasih ruang', 'ruang', 'ruang guru', 'guru']"
"['ruangguru', 'cuman', 'pikir', 'ruang', 'guru', 'cmn', 'bantu', 'tugas', 'kta', 'kk', 'les', 'daftar', 'udh', 'daftar', 'msk', 'les', 'les']","['ruangguru', 'ruangguru cuman', 'cuman', 'cuman pikir', 'pikir', 'pikir ruang', 'ruang', 'ruang guru', 'guru', 'guru cmn', 'cmn', 'cmn bantu', 'bantu', 'bantu tugas', 'tugas', 'tugas kta', 'kta', 'kta kk', 'kk', 'kk les', 'les', 'les daftar', 'daftar', 'daftar udh', 'udh', 'udh daftar', 'daftar', 'daftar msk', 'msk', 'msk les', 'les', 'les les', 'les']"
