stopword & Stemming,"after_N-Gram(1,2)"
"['gut', 'saran', 'gua', 'bagi', 'mapel', 'matematika', 'jelas', 'detail', 'gua', 'sulit', 'bagi', 'matemetikakalo', 'dijelasin', 'dikit', 'paham']","['gut', 'gut saran', 'saran', 'saran gua', 'gua', 'gua bagi', 'bagi', 'bagi mapel', 'mapel', 'mapel matematika', 'matematika', 'matematika jelas', 'jelas', 'jelas detail', 'detail', 'detail gua', 'gua', 'gua sulit', 'sulit', 'sulit bagi', 'bagi', 'bagi matemetikakalo', 'matemetikakalo', 'matemetikakalo dijelasin', 'dijelasin', 'dijelasin dikit', 'dikit', 'dikit paham', 'paham']"
"['permisi', 'nanya', 'aplikasi', 'daftar']","['permisi', 'permisi nanya', 'nanya', 'nanya aplikasi', 'aplikasi', 'aplikasi daftar', 'daftar']"
"['suruh', 'muat', 'ulang', 'trussvidio', 'putar', 'knpaa', 'padhal', 'udh', 'langgan']","['suruh', 'suruh muat', 'muat', 'muat ulang', 'ulang', 'ulang trussvidio', 'trussvidio', 'trussvidio putar', 'putar', 'putar knpaa', 'knpaa', 'knpaa padhal', 'padhal', 'padhal udh', 'udh', 'udh langgan', 'langgan']"
['keren'],['keren']
"['tarik', 'bantu']","['tarik', 'tarik bantu', 'bantu']"
"['suka', 'ajar', 'ruang', 'guru']","['suka', 'suka ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru']"
"['bagus', 'bantu', 'rangking', '1']","['bagus', 'bagus bantu', 'bantu', 'bantu rangking', 'rangking', 'rangking 1', '1']"
['keren'],['keren']
"['jelek', 'langgan', 'nonton', 'download', 'nyesel']","['jelek', 'jelek langgan', 'langgan', 'langgan nonton', 'nonton', 'nonton download', 'download', 'download nyesel', 'nyesel']"
['bagus'],['bagus']
"['aplikasi', 'ilmu']","['aplikasi', 'aplikasi ilmu', 'ilmu']"
"['bagus', 'mudah', 'plajari']","['bagus', 'bagus mudah', 'mudah', 'mudah plajari', 'plajari']"
['bagus'],['bagus']
"['ruang', 'baca', 'suka', 'lola']","['ruang', 'ruang baca', 'baca', 'baca suka', 'suka', 'suka lola', 'lola']"
"['lobby', 'tetep', 'pas', 'tekan', 'avatar', 'ubah', 'persis', 'temen', 'lobby', 'avayar', 'lan', 'ubah', 'bari', 'level', '82', 'rg']","['lobby', 'lobby tetep', 'tetep', 'tetep pas', 'pas', 'pas tekan', 'tekan', 'tekan avatar', 'avatar', 'avatar ubah', 'ubah', 'ubah persis', 'persis', 'persis temen', 'temen', 'temen lobby', 'lobby', 'lobby avayar', 'avayar', 'avayar lan', 'lan', 'lan ubah', 'ubah', 'ubah bari', 'bari', 'bari level', 'level', 'level 82', '82', '82 rg', 'rg']"
"['semangat', 'ajar', 'masbro']","['semangat', 'semangat ajar', 'ajar', 'ajar masbro', 'masbro']"
['buriek'],['buriek']
"['banget', 'ajar']","['banget', 'banget ajar', 'ajar']"
['mantap'],['mantap']
"['jujur', 'banguss', 'bangett', 'ganggu', 'spam', 'message']","['jujur', 'jujur banguss', 'banguss', 'banguss bangett', 'bangett', 'bangett ganggu', 'ganggu', 'ganggu spam', 'spam', 'spam message', 'message']"
"['aplikasi', 'manfaat', 'baca']","['aplikasi', 'aplikasi manfaat', 'manfaat', 'manfaat baca', 'baca']"
"['ganti', 'paket', 'langgan', 'salah', 'beli', 'kemarin', 'coba', 'ganti', 'web', 'salah', 'sistem', 'trs', 'pakai', 'wifi', 'tiket', 'ganti', 'paket', '2', 'stlh', 'tiket', 'paket', 'ganti', 'takut', '7', 'ganti', 'butuh', 'ajar', 'moga', 'ganti', 'paket', 'cepat', 'terimakasih']","['ganti', 'ganti paket', 'paket', 'paket langgan', 'langgan', 'langgan salah', 'salah', 'salah beli', 'beli', 'beli kemarin', 'kemarin', 'kemarin coba', 'coba', 'coba ganti', 'ganti', 'ganti web', 'web', 'web salah', 'salah', 'salah sistem', 'sistem', 'sistem trs', 'trs', 'trs pakai', 'pakai', 'pakai wifi', 'wifi', 'wifi tiket', 'tiket', 'tiket ganti', 'ganti', 'ganti paket', 'paket', 'paket 2', '2', '2 stlh', 'stlh', 'stlh tiket', 'tiket', 'tiket paket', 'paket', 'paket ganti', 'ganti', 'ganti takut', 'takut', 'takut 7', '7', '7 ganti', 'ganti', 'ganti butuh', 'butuh', 'butuh ajar', 'ajar', 'ajar moga', 'moga', 'moga ganti', 'ganti', 'ganti paket', 'paket', 'paket cepat', 'cepat', 'cepat terimakasih', 'terimakasih']"
['bolehh'],['bolehh']
['bagus'],['bagus']
[],[]
['bagus'],['bagus']
"['bagus', 'pintar', 'hari']","['bagus', 'bagus pintar', 'pintar', 'pintar hari', 'hari']"
"['maaf', 'bintang', 'suka', 'langgan', 'duit', 'bayar']","['maaf', 'maaf bintang', 'bintang', 'bintang suka', 'suka', 'suka langgan', 'langgan', 'langgan duit', 'duit', 'duit bayar', 'bayar']"
"['knpa', 'ngga', 'mapel', 'bhsa', 'daerah', 'pertanianseni', 'budaya', 'pakarya', 'informatika', 'mapel', 'sklh']","['knpa', 'knpa ngga', 'ngga', 'ngga mapel', 'mapel', 'mapel bhsa', 'bhsa', 'bhsa daerah', 'daerah', 'daerah pertanianseni', 'pertanianseni', 'pertanianseni budaya', 'budaya', 'budaya pakarya', 'pakarya', 'pakarya informatika', 'informatika', 'informatika mapel', 'mapel', 'mapel sklh', 'sklh']"
"['kemarin', 'tutor', 'lupa', 'kasih', 'nilai', 'guru', 'inget', 'kasih', 'nilai', 'guru', 'pas', 'selesai', 'ngasih', 'bintang', 'pas', 'ku', 'pencet', 'kirim', 'muncul', 'tulis', 'gin', 'invalid', 'response', 'was', 'received', 'upstream', 'server', 'tolong', 'kasih', 'solusi']","['kemarin', 'kemarin tutor', 'tutor', 'tutor lupa', 'lupa', 'lupa kasih', 'kasih', 'kasih nilai', 'nilai', 'nilai guru', 'guru', 'guru inget', 'inget', 'inget kasih', 'kasih', 'kasih nilai', 'nilai', 'nilai guru', 'guru', 'guru pas', 'pas', 'pas selesai', 'selesai', 'selesai ngasih', 'ngasih', 'ngasih bintang', 'bintang', 'bintang pas', 'pas', 'pas ku', 'ku', 'ku pencet', 'pencet', 'pencet kirim', 'kirim', 'kirim muncul', 'muncul', 'muncul tulis', 'tulis', 'tulis gin', 'gin', 'gin invalid', 'invalid', 'invalid response', 'response', 'response was', 'was', 'was received', 'received', 'received upstream', 'upstream', 'upstream server', 'server', 'server tolong', 'tolong', 'tolong kasih', 'kasih', 'kasih solusi', 'solusi']"
"['erti', 'ajar']","['erti', 'erti ajar', 'ajar']"
"['nanya', 'mapel', 'smk', 'kh']","['nanya', 'nanya mapel', 'mapel', 'mapel smk', 'smk', 'smk kh', 'kh']"
['rekomendasi'],['rekomendasi']
"['bagus', 'ngerjain', 'sd', 'mas', 'sd']","['bagus', 'bagus ngerjain', 'ngerjain', 'ngerjain sd', 'sd', 'sd mas', 'mas', 'mas sd', 'sd']"
"['bermanfaatdan', 'mudah', 'paham']","['bermanfaatdan', 'bermanfaatdan mudah', 'mudah', 'mudah paham', 'paham']"
"['ajar', 'mudah', 'sekolah']","['ajar', 'ajar mudah', 'mudah', 'mudah sekolah', 'sekolah']"
